TIMESTAMP,SRC_IP,SRC_PORT,DST_IP,DST_PORT,DIRECTION,IN_BYTES,OUT_BYTES,SWITCH,PORT
2015-01-01 00:00:01,10.0.0.45,85,10.0.1.69,70,0,200,200,S44,1
2015-01-01 00:00:01.001000,10.0.0.45,85,10.0.1.69,70,0,200,200,S44,2
2015-01-01 00:00:01.002000,10.0.0.45,85,10.0.1.69,70,0,102,102,S27,4
2015-01-01 00:00:01.003000,10.0.0.45,85,10.0.1.69,70,0,102,102,S27,2
2015-01-01 00:00:01.004000,10.0.0.45,85,10.0.1.69,70,0,102,102,S14,4
2015-01-01 00:00:01.005000,10.0.0.45,85,10.0.1.69,70,0,102,102,S14,2
2015-01-01 00:00:01.006000,10.0.0.45,85,10.0.1.69,70,0,47,47,S24,2
2015-01-01 00:00:01.007000,10.0.0.45,85,10.0.1.69,70,0,47,47,S24,3
2015-01-01 00:00:01.008000,10.0.0.45,85,10.0.1.69,70,0,47,47,S25,4
2015-01-01 00:00:01.009000,10.0.0.45,85,10.0.1.69,70,0,47,47,S25,2
2015-01-01 00:00:01.010000,10.0.0.45,85,10.0.1.69,70,0,47,47,S16,3
2015-01-01 00:00:01.011000,10.0.0.45,85,10.0.1.69,70,0,47,47,S16,2
2015-01-01 00:00:01.012000,10.0.0.45,85,10.0.1.69,70,0,47,47,S50,3
2015-01-01 00:00:01.013000,10.0.0.45,85,10.0.1.69,70,0,47,47,S50,13
2015-01-01 00:00:01.014000,10.0.0.45,85,10.0.1.69,70,0,47,47,S55,2
2015-01-01 00:00:01.015000,10.0.0.45,85,10.0.1.69,70,0,47,47,S55,4
2015-01-01 00:00:01.016000,10.0.0.45,85,10.0.1.69,70,0,47,47,S56,5
2015-01-01 00:00:01.017000,10.0.0.45,85,10.0.1.69,70,0,47,47,S56,2
2015-01-01 00:00:01.018000,10.0.0.45,85,10.0.1.69,70,0,47,47,S2,2
2015-01-01 00:00:01.019000,10.0.0.45,85,10.0.1.69,70,0,47,47,S2,1
2015-01-01 00:00:02.020000,10.0.2.28,179,10.0.3.93,70,0,200,200,S45,1
2015-01-01 00:00:02.021000,10.0.2.28,179,10.0.3.93,70,0,200,200,S45,3
2015-01-01 00:00:02.022000,10.0.2.28,179,10.0.3.93,70,0,200,200,S46,3
2015-01-01 00:00:02.023000,10.0.2.28,179,10.0.3.93,70,0,200,200,S46,2
2015-01-01 00:00:02.024000,10.0.2.28,179,10.0.3.93,70,0,200,200,S20,3
2015-01-01 00:00:02.025000,10.0.2.28,179,10.0.3.93,70,0,200,200,S20,2
2015-01-01 00:00:02.026000,10.0.2.28,179,10.0.3.93,70,0,200,200,S19,4
2015-01-01 00:00:02.027000,10.0.2.28,179,10.0.3.93,70,0,200,200,S19,3
2015-01-01 00:00:02.028000,10.0.2.28,179,10.0.3.93,70,0,200,200,S51,6
2015-01-01 00:00:02.029000,10.0.2.28,179,10.0.3.93,70,0,200,200,S51,16
2015-01-01 00:00:02.030000,10.0.2.28,179,10.0.3.93,70,0,200,200,S53,9
2015-01-01 00:00:02.031000,10.0.2.28,179,10.0.3.93,70,0,200,200,S53,11
2015-01-01 00:00:02.032000,10.0.2.28,179,10.0.3.93,70,0,148,148,S54,3
2015-01-01 00:00:02.033000,10.0.2.28,179,10.0.3.93,70,0,148,148,S54,2
2015-01-01 00:00:02.034000,10.0.2.28,179,10.0.3.93,70,0,148,148,S52,11
2015-01-01 00:00:02.035000,10.0.2.28,179,10.0.3.93,70,0,148,148,S52,2
2015-01-01 00:00:02.036000,10.0.2.28,179,10.0.3.93,70,0,148,148,S3,3
2015-01-01 00:00:02.037000,10.0.2.28,179,10.0.3.93,70,0,148,148,S3,1
2015-01-01 00:00:03.038000,10.0.2.26,177,10.0.3.113,80,0,200,200,S45,1
2015-01-01 00:00:03.039000,10.0.2.26,177,10.0.3.113,80,0,200,200,S45,3
2015-01-01 00:00:03.040000,10.0.2.26,177,10.0.3.113,80,0,200,200,S46,3
2015-01-01 00:00:03.041000,10.0.2.26,177,10.0.3.113,80,0,200,200,S46,2
2015-01-01 00:00:03.042000,10.0.2.26,177,10.0.3.113,80,0,200,200,S20,3
2015-01-01 00:00:03.043000,10.0.2.26,177,10.0.3.113,80,0,200,200,S20,2
2015-01-01 00:00:03.044000,10.0.2.26,177,10.0.3.113,80,0,200,200,S19,4
2015-01-01 00:00:03.045000,10.0.2.26,177,10.0.3.113,80,0,200,200,S19,3
2015-01-01 00:00:03.046000,10.0.2.26,177,10.0.3.113,80,0,200,200,S51,6
2015-01-01 00:00:03.047000,10.0.2.26,177,10.0.3.113,80,0,200,200,S51,16
2015-01-01 00:00:03.048000,10.0.2.26,177,10.0.3.113,80,0,200,200,S53,9
2015-01-01 00:00:03.049000,10.0.2.26,177,10.0.3.113,80,0,200,200,S53,11
2015-01-01 00:00:03.050000,10.0.2.26,177,10.0.3.113,80,0,200,200,S54,3
2015-01-01 00:00:03.051000,10.0.2.26,177,10.0.3.113,80,0,200,200,S54,2
2015-01-01 00:00:03.052000,10.0.2.26,177,10.0.3.113,80,0,200,200,S52,11
2015-01-01 00:00:03.053000,10.0.2.26,177,10.0.3.113,80,0,200,200,S52,2
2015-01-01 00:00:03.054000,10.0.2.26,177,10.0.3.113,80,0,200,200,S3,3
2015-01-01 00:00:03.055000,10.0.2.26,177,10.0.3.113,80,0,200,200,S3,1
2015-01-01 00:00:04.056000,10.0.2.67,218,10.0.3.8,60,0,200,200,S45,1
2015-01-01 00:00:04.057000,10.0.2.67,218,10.0.3.8,60,0,200,200,S45,3
2015-01-01 00:00:04.058000,10.0.2.67,218,10.0.3.8,60,0,200,200,S46,3
2015-01-01 00:00:04.059000,10.0.2.67,218,10.0.3.8,60,0,200,200,S46,2
2015-01-01 00:00:04.060000,10.0.2.67,218,10.0.3.8,60,0,200,200,S20,3
2015-01-01 00:00:04.061000,10.0.2.67,218,10.0.3.8,60,0,200,200,S20,2
2015-01-01 00:00:04.062000,10.0.2.67,218,10.0.3.8,60,0,200,200,S19,4
2015-01-01 00:00:04.063000,10.0.2.67,218,10.0.3.8,60,0,200,200,S19,3
2015-01-01 00:00:04.064000,10.0.2.67,218,10.0.3.8,60,0,200,200,S51,6
2015-01-01 00:00:04.065000,10.0.2.67,218,10.0.3.8,60,0,200,200,S51,16
2015-01-01 00:00:04.066000,10.0.2.67,218,10.0.3.8,60,0,200,200,S53,9
2015-01-01 00:00:04.067000,10.0.2.67,218,10.0.3.8,60,0,200,200,S53,11
2015-01-01 00:00:04.068000,10.0.2.67,218,10.0.3.8,60,0,200,200,S54,3
2015-01-01 00:00:04.069000,10.0.2.67,218,10.0.3.8,60,0,200,200,S54,2
2015-01-01 00:00:04.070000,10.0.2.67,218,10.0.3.8,60,0,200,200,S52,11
2015-01-01 00:00:04.071000,10.0.2.67,218,10.0.3.8,60,0,200,200,S52,2
2015-01-01 00:00:04.072000,10.0.2.67,218,10.0.3.8,60,0,200,200,S3,3
2015-01-01 00:00:04.073000,10.0.2.67,218,10.0.3.8,60,0,200,200,S3,1
2015-01-01 00:00:05.074000,10.0.2.148,299,10.0.3.143,80,0,200,200,S45,1
2015-01-01 00:00:05.075000,10.0.2.148,299,10.0.3.143,80,0,200,200,S45,3
2015-01-01 00:00:05.076000,10.0.2.148,299,10.0.3.143,80,0,200,200,S46,3
2015-01-01 00:00:05.077000,10.0.2.148,299,10.0.3.143,80,0,200,200,S46,2
2015-01-01 00:00:05.078000,10.0.2.148,299,10.0.3.143,80,0,200,200,S20,3
2015-01-01 00:00:05.079000,10.0.2.148,299,10.0.3.143,80,0,200,200,S20,2
2015-01-01 00:00:05.080000,10.0.2.148,299,10.0.3.143,80,0,137,137,S19,4
2015-01-01 00:00:05.081000,10.0.2.148,299,10.0.3.143,80,0,137,137,S19,3
2015-01-01 00:00:05.082000,10.0.2.148,299,10.0.3.143,80,0,137,137,S51,6
2015-01-01 00:00:05.083000,10.0.2.148,299,10.0.3.143,80,0,137,137,S51,16
2015-01-01 00:00:05.084000,10.0.2.148,299,10.0.3.143,80,0,137,137,S53,9
2015-01-01 00:00:05.085000,10.0.2.148,299,10.0.3.143,80,0,137,137,S53,11
2015-01-01 00:00:05.086000,10.0.2.148,299,10.0.3.143,80,0,137,137,S54,3
2015-01-01 00:00:05.087000,10.0.2.148,299,10.0.3.143,80,0,137,137,S54,2
2015-01-01 00:00:05.088000,10.0.2.148,299,10.0.3.143,80,0,137,137,S52,11
2015-01-01 00:00:05.089000,10.0.2.148,299,10.0.3.143,80,0,137,137,S52,2
2015-01-01 00:00:05.090000,10.0.2.148,299,10.0.3.143,80,0,137,137,S3,3
2015-01-01 00:00:05.091000,10.0.2.148,299,10.0.3.143,80,0,137,137,S3,1
2015-01-01 00:00:06.092000,10.0.2.126,277,10.0.3.21,60,0,200,200,S45,1
2015-01-01 00:00:06.093000,10.0.2.126,277,10.0.3.21,60,0,200,200,S45,3
2015-01-01 00:00:06.094000,10.0.2.126,277,10.0.3.21,60,0,200,200,S46,3
2015-01-01 00:00:06.095000,10.0.2.126,277,10.0.3.21,60,0,200,200,S46,2
2015-01-01 00:00:06.096000,10.0.2.126,277,10.0.3.21,60,0,156,156,S20,3
2015-01-01 00:00:06.097000,10.0.2.126,277,10.0.3.21,60,0,156,156,S20,2
2015-01-01 00:00:06.098000,10.0.2.126,277,10.0.3.21,60,0,156,156,S19,4
2015-01-01 00:00:06.099000,10.0.2.126,277,10.0.3.21,60,0,156,156,S19,3
2015-01-01 00:00:06.100000,10.0.2.126,277,10.0.3.21,60,0,156,156,S51,6
2015-01-01 00:00:06.101000,10.0.2.126,277,10.0.3.21,60,0,156,156,S51,16
2015-01-01 00:00:06.102000,10.0.2.126,277,10.0.3.21,60,0,156,156,S53,9
